sheet,invoice,amount_minor,lines,date,customer,country
Year 2009-2010,489434,50530,8,2009-12-01 07:45:00,13085,United Kingdom
Year 2009-2010,489435,14580,4,2009-12-01 07:46:00,13085,United Kingdom
Year 2009-2010,489436,63033,19,2009-12-01 09:06:00,13078,United Kingdom
Year 2009-2010,489437,31075,23,2009-12-01 09:08:00,15362,United Kingdom
Year 2009-2010,489438,228624,17,2009-12-01 09:24:00,18102,United Kingdom
Year 2009-2010,489439,42630,19,2009-12-01 09:28:00,12682,France
Year 2009-2010,489440,5040,2,2009-12-01 09:43:00,18087,United Kingdom
Year 2009-2010,489441,34434,4,2009-12-01 09:44:00,18087,United Kingdom
Year 2009-2010,489442,38237,23,2009-12-01 09:46:00,13635,United Kingdom
Year 2009-2010,489443,28506,7,2009-12-01 09:50:00,14110,United Kingdom
Year 2009-2010,489444,14100,1,2009-12-01 09:55:00,12636,USA
Year 2009-2010,489445,30844,19,2009-12-01 09:57:00,17519,United Kingdom
Year 2009-2010,489446,99610,27,2009-12-01 10:06:00,13758,United Kingdom
Year 2009-2010,489447,13000,1,2009-12-01 10:10:00,12362,Belgium
Year 2009-2010,489448,57024,4,2009-12-01 10:18:00,15413,United Kingdom
Year 2009-2010,489450,19610,9,2009-12-01 10:36:00,16321,Australia
Year 2009-2010,489460,48579,15,2009-12-01 10:46:00,16167,United Kingdom
Year 2009-2010,489461,58933,26,2009-12-01 10:49:00,17865,United Kingdom
Year 2009-2010,489462,14830,13,2009-12-01 10:49:00,17592,United Kingdom
Year 2009-2010,489463,0,1,2009-12-01 10:52:00,,United Kingdom
Year 2009-2010,489464,0,1,2009-12-01 10:52:00,,United Kingdom
Year 2009-2010,489465,119780,19,2009-12-01 10:52:00,13767,United Kingdom
Year 2009-2010,489467,0,1,2009-12-01 10:53:00,,United Kingdom
Year 2009-2010,489488,25110,30,2009-12-01 10:59:00,17238,United Kingdom
Year 2009-2010,489505,25550,10,2009-12-01 11:17:00,15712,United Kingdom
Year 2009-2010,489514,82302,32,2009-12-01 11:21:00,15311,United Kingdom
Year 2009-2010,489517,28246,38,2009-12-01 11:34:00,16329,United Kingdom
Year 2009-2010,489519,69673,38,2009-12-01 11:37:00,17700,United Kingdom
Year 2009-2010,489520,73363,30,2009-12-01 11:41:00,14911,EIRE
Year 2009-2010,489521,0,1,2009-12-01 11:44:00,,United Kingdom
Year 2009-2010,489522,70031,104,2009-12-01 11:45:00,15998,United Kingdom
Year 2009-2010,489523,116000,1,2009-12-01 11:46:00,12931,United Kingdom
Year 2009-2010,489525,140,2,2009-12-01 11:49:00,,United Kingdom
Year 2009-2010,489526,92992,44,2009-12-01 11:50:00,12533,Germany
Year 2009-2010,489529,22946,50,2009-12-01 11:51:00,17984,United Kingdom
Year 2009-2010,489531,14500,14,2009-12-01 11:57:00,14871,United Kingdom
Year 2009-2010,489532,30453,20,2009-12-01 11:58:00,13394,United Kingdom
Year 2009-2010,489533,19275,22,2009-12-01 12:02:00,16011,United Kingdom
Year 2009-2010,489536,36741,130,2009-12-01 12:13:00,16393,United Kingdom
Year 2009-2010,489537,63333,59,2009-12-01 12:14:00,14040,United Kingdom
Year 2009-2010,489539,288714,17,2009-12-01 12:18:00,15061,United Kingdom
Year 2009-2010,489540,53796,5,2009-12-01 12:18:00,12913,United Kingdom
Year 2009-2010,489542,38760,2,2009-12-01 12:19:00,15061,United Kingdom
Year 2009-2010,489544,28182,14,2009-12-01 12:20:00,14341,United Kingdom
Year 2009-2010,489545,12495,32,2009-12-01 12:22:00,17804,United Kingdom
Year 2009-2010,489546,58450,33,2009-12-01 12:30:00,14156,EIRE
Year 2009-2010,489547,64145,22,2009-12-01 12:30:00,13599,United Kingdom
Year 2009-2010,489548,39086,55,2009-12-01 12:32:00,,United Kingdom
Year 2009-2010,489550,48230,23,2009-12-01 12:33:00,14156,EIRE
Year 2009-2010,489552,27861,25,2009-12-01 12:36:00,17063,United Kingdom
Year 2009-2010,489556,37965,59,2009-12-01 12:47:00,15719,United Kingdom
Year 2009-2010,489557,60394,21,2009-12-01 12:52:00,12490,France
Year 2009-2010,489558,29158,4,2009-12-01 12:54:00,15793,United Kingdom
Year 2009-2010,489559,12860,8,2009-12-01 12:55:00,17056,United Kingdom
Year 2009-2010,489560,85910,30,2009-12-01 12:56:00,13526,United Kingdom
Year 2009-2010,489561,24686,27,2009-12-01 12:57:00,14654,United Kingdom
Year 2009-2010,489562,22960,39,2009-12-01 13:07:00,17998,United Kingdom
Year 2009-2010,489564,32290,14,2009-12-01 13:13:00,13526,United Kingdom
Year 2009-2010,489566,21855,8,2009-12-01 13:16:00,17742,United Kingdom
Year 2009-2010,489567,30780,20,2009-12-01 13:19:00,15326,United Kingdom
Year 2009-2010,489569,28228,18,2009-12-01 13:20:00,14478,United Kingdom
Year 2009-2010,489571,15671,30,2009-12-01 13:29:00,15967,United Kingdom
Year 2009-2010,489572,50749,83,2009-12-01 13:29:00,17611,United Kingdom
Year 2009-2010,489573,58002,32,2009-12-01 13:29:00,15051,United Kingdom
Year 2009-2010,489574,55133,65,2009-12-01 13:31:00,13097,United Kingdom
Year 2009-2010,489575,36728,22,2009-12-01 13:37:00,13590,United Kingdom
Year 2009-2010,489576,31966,17,2009-12-01 13:38:00,15984,United Kingdom
Year 2009-2010,489579,21982,34,2009-12-01 13:41:00,16887,United Kingdom
Year 2009-2010,489580,26100,8,2009-12-01 13:43:00,12921,United Kingdom
