code,description,sales,units,modal,min,max,median
10002,INFLATABLE POLITICAL GLOBE,391,8836,85,72,170,85
10080,GROOVY CACTUS INFLATABLE,28,315,39,39,85,39
10120,DOGGY RUBBER,77,680,21,21,43,21
10123C,HEARTS WRAPPING TAPE,67,654,65,6,130,65
10123G,ARMY CAMO WRAPPING TAPE,17,2251,65,6,170,65
10124A,SPOTS ON RED BOOKCOVER TAPE,19,62,42,42,42,42
10124G,ARMY CAMO BOOKCOVER TAPE,11,38,42,42,84,42
10125,MINI FUNKY DESIGN TAPES,181,2151,85,42,170,85
10133,COLOURING PENCILS BROWN TUBE,299,3882,85,42,170,83
10134,COLOURING PENCILS BROWN TUBE,56,627,125,106,257,125
10135,COLOURING PENCILS BROWN TUBE,339,4273,125,25,257,125
10138,ASSORTED COLOUR JUMBO PEN,21,261,42,42,83,42
11001,ASSTD DESIGN RACING CAR PEN,265,4885,169,50,343,169
15030,FAN BLACK FRAME,27,254,29,29,29,29
15034,PAPER POCKET TRAVELING FAN,264,10266,14,7,85,14
15036,ASSORTED COLOURS SILK FAN,1003,44365,75,48,163,83
15039,SANDALWOOD FAN,313,5119,85,53,170,85
15044A,PINK PAPER PARASOL,251,4970,295,255,604,295
15044B,BLUE PAPER PARASOL,192,1673,295,255,604,295
15044C,PURPLE PAPER PARASOL,237,973,295,255,604,295
15044D,RED PAPER PARASOL,231,1598,295,255,604,295
15056BL,EDWARDIAN PARASOL BLACK,910,9646,595,195,1300,595
15056N,EDWARDIAN PARASOL NATURAL,1056,11370,595,195,1300,595
15056P,EDWARDIAN PARASOL PINK,351,2529,595,300,1300,595
15056bl,EDWARDIAN PARASOL BLACK,93,126,1246,1246,1300,1246
15056n,EDWARDIAN PARASOL NATURAL,121,180,1246,1246,1272,1246
15056p,EDWARDIAN PARASOL PINK,41,50,1246,1246,1272,1246
15058A,BLUE WHITE SPOTS GARDEN PARASOL,149,476,795,395,2549,795
15058B,PINK WHITE SPOTS GARDEN PARASOL,156,438,795,395,2549,795
15058C,ICE CREAM DESIGN GARDEN PARASOL,122,470,795,395,2549,795
15060B,FAIRY CAKE DESIGN UMBRELLA,462,1438,375,295,865,375
15060b,FAIRY CAKE DESIGN UMBRELLA,5,5,829,829,847,829
16008,SMALL FOLDING SCISSOR(POINTED EDGE),86,3143,12,8,25,12
16010,FOLDING CAMPING SCISSOR W/KNIF & S,5,44,12,12,12,12
16011,ANIMAL STICKERS,116,3906,21,16,21,21
16012,FOOD/DRINK SPUNGE STICKERS,87,2973,21,16,21,21
16014,SMALL CHINESE STYLE SCISSOR,97,30370,42,32,42,42
16015,MEDIUM CHINESE STYLE SCISSOR,66,1573,50,36,50,50
16016,LARGE CHINESE STYLE SCISSOR,110,2338,85,72,85,85
16020C,CLEAR STATIONERY BOX SET,40,160,85,83,85,85
16033,MINI HIGHLIGHTER PENS,50,15121,12,9,12,12
16043,POP ART PUSH DOWN RUBBER,13,2145,42,6,42,42
16045,POPART WOODEN PENCILS ASST,75,9312,4,4,12,4
16046,TEATIME PEN CASE & PENS,66,10061,85,8,170,85
16047,POP ART PEN CASE & PENS,32,10614,85,8,170,85
16048,TEATIME ROUND PENCIL SHARPENER,107,3462,12,12,85,12
