import time: self [us] | cumulative | imported package
import time:       165 |        165 | winreg
import time:       383 |        383 |   _io
import time:        63 |         63 |   marshal
import time:       347 |        347 |   nt
import time:      1038 |       1830 | _frozen_importlib_external
import time:      1081 |       1081 |   time
import time:       372 |       1452 | zipimport
import time:        89 |         89 |     _codecs
import time:       944 |       1032 |   codecs
import time:      1800 |       1800 |   encodings.aliases
import time:      1271 |       1271 |   encodings._win_cp_codecs
import time:      2867 |       6969 | encodings
import time:       816 |        816 | encodings.utf_8
import time:       857 |        857 | encodings.cp1252
import time:        95 |         95 | _signal
import time:        75 |         75 |       _abc
import time:       322 |        396 |     abc
import time:        99 |         99 |       _stat
import time:       271 |        369 |     stat
import time:      1423 |       1423 |     _collections_abc
import time:       165 |        165 |       genericpath
import time:       162 |        162 |       _winapi
import time:       368 |        693 |     ntpath
import time:       922 |       3802 |   os
import time:       168 |        168 |   _sitebuiltins
import time:        96 |         96 |   errno
import time:      1112 |       1112 |   encodings.utf_8_sig
import time:       256 |        256 |         itertools
import time:       896 |        896 |         keyword
import time:       220 |        220 |           _operator
import time:      1252 |       1471 |         operator
import time:     88265 |      88265 |         reprlib
import time:       348 |        348 |         _collections
import time:      2296 |      93529 |       collections
import time:       107 |        107 |           _types
import time:      1297 |       1404 |         types
import time:       120 |        120 |         _functools
import time:    236984 |     238507 |       functools
import time:      1783 |     333818 |     contextlib
import time:      2161 |     335978 |   _virtualenv
import time:      1267 |       1267 |     pywin32_system32
import time:      1937 |       3203 |   pywin32_bootstrap
import time:       652 |        652 |   sitecustomize
import time:      3742 |     348749 | site
import time:      1425 |       1425 | linecache
import time:      3216 |       3216 |       enum
import time:       138 |        138 |         _sre
import time:      1033 |       1033 |           re._constants
import time:      1548 |       2581 |         re._parser
import time:       973 |        973 |         re._casefix
import time:      1585 |       5275 |       re._compiler
import time:      1172 |       1172 |       copyreg
import time:      2215 |      11877 |     re
import time:       125 |        125 |       _json
import time:      1809 |       1934 |     json.scanner
import time:      1875 |      15685 |   json.decoder
import time:      2079 |       2079 |   json.encoder
import time:      1281 |      19044 | json
import time:       143 |        143 |   _csv
import time:       515 |        515 |   io
import time:      2073 |       2730 | csv
import time:        96 |         96 |       _datetime
import time:       876 |        971 |     datetime
import time:     58894 |      58894 |     _sqlite3
import time:        75 |         75 |         _contextvars
import time:      1398 |       1473 |       _py_warnings
import time:      1391 |       2864 |     warnings
import time:      1342 |      64070 |   sqlite3.dbapi2
import time:      1190 |      65259 | sqlite3
import time:      2876 |       2876 |   _ast
import time:      1343 |       4218 | ast
import time:       125 |        125 |   math
import time:      1340 |       1340 |   numbers
import time:        70 |         70 |       _bisect
import time:       894 |        964 |     bisect
import time:        66 |         66 |     _random
import time:      1571 |       2600 |   random
import time:      3827 |       3827 |   fractions
import time:      1987 |       1987 |     _decimal
import time:       925 |       2911 |   decimal
import time:        72 |         72 |   _statistics
import time:      2790 |      13662 | statistics
